title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
Can differences in the nickel abundance in Chandrasekhar mass models explain the relation between brightness and decline rate of normal Type Ia Supernovae?,"['Paolo A. Mazzali', ""Ken'ichi Nomoto"", 'Enrico Cappellaro', 'Takayoshi Nakamura', 'Hideyuki Umeda', 'Koichi Iwamoto']",2000-09-29,arXiv:0009490v1,dyn_91a89cff5c,paper_metadata,arxiv_0009490v1_can_differences_in_the_nickel_abundance_in_chandrasekhar_mass_models_explain_the.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0009490v1,0.5,evidence text not found on recorded PDF page,
Type Ia Supernovae and Their Cosmological Implications,"['A. V. Filippenko', 'A. G. Riess']",1999-05-05,arXiv:9905049v1,dyn_2d4a05f372,paper_metadata,arxiv_9905049v1_type_ia_supernovae_and_their_cosmological_implications.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9905049v1,0.5,evidence text not found on recorded PDF page,
Near-infrared light curves of type Ia supernovae,"['Dennis Jack', 'Peter H. Hauschildt', 'E. Baron']",2012-01-09,arXiv:1201.1723v1,dyn_e56a12af27,paper_metadata,arxiv_1201_1723v1_near_infrared_light_curves_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1201.1723v1,0.5,evidence text not found on recorded PDF page,
An Empirical Fitting Method for Type Ia Supernova Light Curves. II. Estimating the First-Light Time and Rise Time,"['WeiKang Zheng', 'Patrick L. Kelly', 'Alexei V. Filippenko']",2016-12-08,arXiv:1612.02725v3,dyn_6a9a047679,paper_metadata,arxiv_1612_02725v3_an_empirical_fitting_method_for_type_ia_supernova_light_curves_ii_estimating_the.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1612.02725v3,0.5,evidence text not found on recorded PDF page,
Light curve studies of nearby Type Ia Supernovae with a Multi-band Stretch method,"['N. Takanashi', 'M. Doi', 'N. Yasuda']",2008-07-08,arXiv:0807.1244v1,dyn_1e617ab1fc,paper_metadata,arxiv_0807_1244v1_light_curve_studies_of_nearby_type_ia_supernovae_with_a_multi_band_stretch_metho.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/0807.1244v1,0.5,evidence text not found on recorded PDF page,
The Ultraviolet Brightest Type Ia Supernova 2011de,['Peter J. Brown'],2014-08-05,arXiv:1408.1033v1,dyn_a061a5be54,paper_metadata,arxiv_1408_1033v1_the_ultraviolet_brightest_type_ia_supernova_2011de.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1408.1033v1,0.5,evidence text not found on recorded PDF page,
ZTF SN Ia DR2: An environmental study of Type Ia supernovae using host galaxy image decomposition,"['R. Senzel', 'K. Maguire', 'U. Burgaz', 'G. Dimitriadis', 'M. Rigault', 'A. Goobar', 'J. Johansson', 'M. Smith', 'M. Deckers', 'L. Galbany', 'M. Ginolin', 'L. Harvey', 'Y. -L. Kim', 'T. E. Muller-Bravo', 'P. Nugent', 'P. Rosnet', 'J. Sollerman', 'J. H. Terwel', 'R. R. Laher', 'D. Reiley', 'B. Rusholme']",2024-11-18,arXiv:2411.11986v1,dyn_0f6e4d5ab2,paper_metadata,arxiv_2411_11986v1_ztf_sn_ia_dr2_an_environmental_study_of_type_ia_supernovae_using_host_galaxy_ima.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2411.11986v1,0.5,evidence text not found on recorded PDF page,
The Spectroscopic Diversity of Type Ia Supernovae,"['S. Blondin', 'T. Matheson', 'R. P. Kirshner', 'K. S. Mandel', 'P. Berlind', 'M. Calkins', 'P. Challis', 'P. M. Garnavich', 'S. W. Jha', 'M. Modjaz', 'A. G. Riess', 'B. P. Schmidt']",2012-03-21,arXiv:1203.4832v2,dyn_f7bf3b6f4b,paper_metadata,arxiv_1203_4832v2_the_spectroscopic_diversity_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1203.4832v2,0.5,evidence text not found on recorded PDF page,
"Explosion Models for Type Ia Supernovae: A Comparison with Observed Light Curves, distances, H_o and q_o","['P. Hoeflich', 'A. Khokkhlov']",1996-02-06,arXiv:9602025v1,dyn_621e5930ab,paper_metadata,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9602025v1,0.5,evidence text not found on recorded PDF page,
Optical Light Curves of the Type Ia Supernovae 1990N and 1991T,"['P. Lira', 'Nicholas B. Suntzeff', 'M. M. Phillips', 'Mario Hamuy', 'Jose Maza', 'R. A. Schommer', 'R. C. Smith', 'Lisa A. Wells', 'R. Aviles', 'J. A. Baldwin', 'J. H. Elias', 'L. Gonzalez', 'A. Layden', 'M. Navarrete', 'P. Ugarte', 'Alistair R. Walker', 'Gerard M. Williger', 'F. K. Baganoff', 'Arlin P. S. Crotts', 'R. Michael Rich', 'N. D. Tyson', 'A. Dey', 'P. Guhathakurta', 'J. Hibbard', 'Y. -C. Kim', 'Daniel M. Rehner', 'E. Siciliano', 'Joshua Roth', 'Patrick Seitzer', 'T. B. Williams']",1997-09-25,arXiv:9709262v1,dyn_a13b87d714,paper_metadata,arxiv_9709262v1_optical_light_curves_of_the_type_ia_supernovae_1990n_and_1991t.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9709262v1,0.5,evidence text not found on recorded PDF page,
